normalized_source_url,source_url,first_manifest
https://commons.wikimedia.org/wiki/File:EFTA00000884_-_Computer_workstation_featuring_a_laptop_keyboard_mouse_and_multiple_monitors_on_a_light-colored_desk.jpg,https://commons.wikimedia.org/wiki/File:EFTA00000884_-_Computer_workstation_featuring_a_laptop_keyboard_mouse_and_multiple_monitors_on_a_light-colored_desk.jpg,data/desktop_scenes/manifest.csv
"https://commons.wikimedia.org/wiki/File:Executive_Desk,_1921.jpg","https://commons.wikimedia.org/wiki/File:Executive_Desk,_1921.jpg",data/desktop_scenes_batch4/manifest.csv
https://commons.wikimedia.org/wiki/File:George-peabody-library.jpg,https://commons.wikimedia.org/wiki/File:George-peabody-library.jpg,data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:Homes_and_their_decoration_(1903)_(14784402143).jpg,https://commons.wikimedia.org/wiki/File:Homes_and_their_decoration_(1903)_(14784402143).jpg,data/desktop_scenes/manifest.csv
"https://commons.wikimedia.org/wiki/File:Hydration_break_jugs_at_Bishop%27s_Stortford_Cricket_Club,_Hertfordshire.jpg","https://commons.wikimedia.org/wiki/File:Hydration_break_jugs_at_Bishop%27s_Stortford_Cricket_Club,_Hertfordshire.jpg",data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:Illustration_r%C3%A9daction_professionnelle.jpg,https://commons.wikimedia.org/wiki/File:Illustration_r%C3%A9daction_professionnelle.jpg,data/desktop_scenes_batch5/manifest.csv
"https://commons.wikimedia.org/wiki/File:Joinery_workbench_2_-_19c_-_Technical_museum,_Nizhny_Novgorod.jpg","https://commons.wikimedia.org/wiki/File:Joinery_workbench_2_-_19c_-_Technical_museum,_Nizhny_Novgorod.jpg",data/desktop_scenes_batch3/manifest.csv
"https://commons.wikimedia.org/wiki/File:Kitchen_with_island,_New_Orleans_2007.jpg","https://commons.wikimedia.org/wiki/File:Kitchen_with_island,_New_Orleans_2007.jpg",data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:Laptop_and_coffee_on_a_desk.jpg,https://commons.wikimedia.org/wiki/File:Laptop_and_coffee_on_a_desk.jpg,sample_run/manifest.csv
https://commons.wikimedia.org/wiki/File:Messy_translator_desk_with_mini_neko.jpg,https://commons.wikimedia.org/wiki/File:Messy_translator_desk_with_mini_neko.jpg,data/desktop_scenes_batch6/manifest.csv
https://commons.wikimedia.org/wiki/File:Middle-aged_businesswoman_typing_on_laptop_at_home_office.jpg,https://commons.wikimedia.org/wiki/File:Middle-aged_businesswoman_typing_on_laptop_at_home_office.jpg,data/desktop_scenes/manifest.csv
https://commons.wikimedia.org/wiki/File:Oto_godfrey-multi_screen_studio.jpg,https://commons.wikimedia.org/wiki/File:Oto_godfrey-multi_screen_studio.jpg,data/desktop_scenes_batch4/manifest.csv
https://commons.wikimedia.org/wiki/File:Palamuse_kihelkonnakooli_klassiruum.jpg,https://commons.wikimedia.org/wiki/File:Palamuse_kihelkonnakooli_klassiruum.jpg,data/desktop_scenes_batch3/manifest.csv
"https://commons.wikimedia.org/wiki/File:Paperless_work_desk_with_an_iPad,_iMac_and_a_MacBook.jpg","https://commons.wikimedia.org/wiki/File:Paperless_work_desk_with_an_iPad,_iMac_and_a_MacBook.jpg",data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:PensacolaWentworthAug2008WentworthDesk.jpg,https://commons.wikimedia.org/wiki/File:PensacolaWentworthAug2008WentworthDesk.jpg,data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:Preparing_fresh_fruit_for_a_smoothie_in_a_bright_kitchen_space_with_colorful_ingredients_spread_across_a_countertop.jpg,https://commons.wikimedia.org/wiki/File:Preparing_fresh_fruit_for_a_smoothie_in_a_bright_kitchen_space_with_colorful_ingredients_spread_across_a_countertop.jpg,data/desktop_scenes/manifest.csv
https://commons.wikimedia.org/wiki/File:President_Barack_Obama.jpg,https://commons.wikimedia.org/wiki/File:President_Barack_Obama.jpg,data/desktop_scenes_batch5/manifest.csv
https://commons.wikimedia.org/wiki/File:Press_Gallery_desk_MoAD.jpg,https://commons.wikimedia.org/wiki/File:Press_Gallery_desk_MoAD.jpg,data/desktop_scenes_batch4/manifest.csv
https://commons.wikimedia.org/wiki/File:RPG-2009-Berlin-2.jpg,https://commons.wikimedia.org/wiki/File:RPG-2009-Berlin-2.jpg,data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:Resolute_desk_in_Taft_study.jpg,https://commons.wikimedia.org/wiki/File:Resolute_desk_in_Taft_study.jpg,data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:Rolltop_desk_MET_DP106652.jpg,https://commons.wikimedia.org/wiki/File:Rolltop_desk_MET_DP106652.jpg,data/desktop_scenes_batch3/manifest.csv
https://commons.wikimedia.org/wiki/File:S.D._Butcher%27s_pioneer_history_of_Custer_County_-_and_short_sketches_of_early_days_in_Nebraska_(1901)_(14760386201).jpg,https://commons.wikimedia.org/wiki/File:S.D._Butcher%27s_pioneer_history_of_Custer_County_-_and_short_sketches_of_early_days_in_Nebraska_(1901)_(14760386201).jpg,data/desktop_scenes/manifest.csv
"https://commons.wikimedia.org/wiki/File:The_Lottery_(BM_1850,1109.45).jpg","https://commons.wikimedia.org/wiki/File:The_Lottery_(BM_1850,1109.45).jpg",data/desktop_scenes/manifest.csv
https://commons.wikimedia.org/wiki/File:Woman_capturing_a_selfie_while_enjoying_breakfast_and_working_on_a_laptop.jpg,https://commons.wikimedia.org/wiki/File:Woman_capturing_a_selfie_while_enjoying_breakfast_and_working_on_a_laptop.jpg,data/desktop_scenes/manifest.csv
https://commons.wikimedia.org/wiki/File:Woman_in_professional_attire_typing_on_laptop_with_handcuffs_on_desk_near_coffee_cup_in_modern_office_setting.jpg,https://commons.wikimedia.org/wiki/File:Woman_in_professional_attire_typing_on_laptop_with_handcuffs_on_desk_near_coffee_cup_in_modern_office_setting.jpg,data/desktop_scenes/manifest.csv
https://commons.wikimedia.org/wiki/File:Working_on_my_laptop.jpg,https://commons.wikimedia.org/wiki/File:Working_on_my_laptop.jpg,data/desktop_scenes_batch5/manifest.csv
https://commons.wikimedia.org/wiki/File:Young_woman_enjoying_breakfast_while_reading_a_book_at_a_cozy_home_workspace.jpg,https://commons.wikimedia.org/wiki/File:Young_woman_enjoying_breakfast_while_reading_a_book_at_a_cozy_home_workspace.jpg,data/desktop_scenes/manifest.csv
https://flickr.com/photos/-ebelien-/46207610471,https://www.flickr.com/photos/-ebelien-/46207610471,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/10019047@N05/7173254720,https://www.flickr.com/photos/10019047@N05/7173254720,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/100477236@N02/14785039607,https://www.flickr.com/photos/100477236@N02/14785039607,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/101237052@N02/9663862199,https://www.flickr.com/photos/101237052@N02/9663862199,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/101291927@N05/19259821829,https://www.flickr.com/photos/101291927@N05/19259821829,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/101332430@N03/9677861633,https://www.flickr.com/photos/101332430@N03/9677861633,data/desktop_scenes/manifest.csv
https://flickr.com/photos/101332430@N03/9722218847,https://www.flickr.com/photos/101332430@N03/9722218847,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/29301984823,https://www.flickr.com/photos/10154402@N03/29301984823,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/29302022243,https://www.flickr.com/photos/10154402@N03/29302022243,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/10154402@N03/49196451178,https://www.flickr.com/photos/10154402@N03/49196451178,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49210936753,https://www.flickr.com/photos/10154402@N03/49210936753,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49211642482,https://www.flickr.com/photos/10154402@N03/49211642482,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49215074697,https://www.flickr.com/photos/10154402@N03/49215074697,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49230661281,https://www.flickr.com/photos/10154402@N03/49230661281,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49236154742,https://www.flickr.com/photos/10154402@N03/49236154742,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49241153607,https://www.flickr.com/photos/10154402@N03/49241153607,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49748271306,https://www.flickr.com/photos/10154402@N03/49748271306,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49767949392,https://www.flickr.com/photos/10154402@N03/49767949392,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49768967483,https://www.flickr.com/photos/10154402@N03/49768967483,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49774299367,https://www.flickr.com/photos/10154402@N03/49774299367,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49791740207,https://www.flickr.com/photos/10154402@N03/49791740207,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10154402@N03/49799091238,https://www.flickr.com/photos/10154402@N03/49799091238,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/101561334@N08/10324947756,https://www.flickr.com/photos/101561334@N08/10324947756,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/101561334@N08/13136030914,https://www.flickr.com/photos/101561334@N08/13136030914,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/101592688@N07/14664113462,https://www.flickr.com/photos/101592688@N07/14664113462,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10184732@N03/2406213837,https://www.flickr.com/photos/10184732@N03/2406213837,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10209031@N08/4232946477,https://www.flickr.com/photos/10209031@N08/4232946477,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10271343@N00/2885687985,https://www.flickr.com/photos/10271343@N00/2885687985,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10295241@N02/12165904053,https://www.flickr.com/photos/10295241@N02/12165904053,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10361931@N06/4268896936,https://www.flickr.com/photos/10361931@N06/4268896936,data/desktop_scenes_batch2/manifest.csv
